,r,r0,mkt var,mkt skew,mkt kurt,var ew,skew ew,kurt ew,var vw,skew vw,kurt vw
r,1.000,,,,,,,,,,
r0,0.130,1.000,,,,,,,,,
mkt var,-0.012,-0.198,1.000,,,,,,,,
mkt skew,-0.045,-0.159,-0.080,1.000,,,,,,,
mkt kurt,-0.171,0.284,0.029,-0.492,1.000,,,,,,
var ew,0.180,0.187,0.393,-0.040,0.096,1.000,,,,,
skew ew,-0.094,0.288,-0.340,0.636,-0.222,0.045,1.000,,,,
kurt ew,-0.212,0.276,-0.461,-0.332,0.513,-0.149,0.033,1.000,,,
var vw,-0.043,-0.088,0.891,-0.111,0.135,0.485,-0.293,-0.359,1.000,,
skew vw,-0.087,0.251,-0.256,0.656,-0.161,0.085,0.805,0.056,-0.160,1.000,
kurt vw,-0.084,0.040,-0.122,-0.210,0.488,-0.057,0.000,0.615,-0.074,0.070,1.000
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
