codes,boardtype
000001.SZ,主板
000002.SZ,主板
000004.SZ,主板
000005.SZ,主板
000006.SZ,主板
000007.SZ,主板
000008.SZ,主板
000009.SZ,主板
000010.SZ,主板
000011.SZ,主板
000012.SZ,主板
000014.SZ,主板
000016.SZ,主板
000017.SZ,主板
000019.SZ,主板
000020.SZ,主板
000021.SZ,主板
000023.SZ,主板
000025.SZ,主板
000026.SZ,主板
000027.SZ,主板
000028.SZ,主板
000029.SZ,主板
000030.SZ,主板
000031.SZ,主板
000032.SZ,主板
000034.SZ,主板
000035.SZ,主板
000036.SZ,主板
000037.SZ,主板
000038.SZ,主板
000039.SZ,主板
000040.SZ,主板
000042.SZ,主板
000045.SZ,主板
000046.SZ,主板
000048.SZ,主板
000049.SZ,主板
000050.SZ,主板
000055.SZ,主板
000056.SZ,主板
000058.SZ,主板
000059.SZ,主板
000060.SZ,主板
000061.SZ,主板
000062.SZ,主板
000063.SZ,主板
000065.SZ,主板
000066.SZ,主板
000068.SZ,主板
000069.SZ,主板
000070.SZ,主板
000078.SZ,主板
000088.SZ,主板
000089.SZ,主板
000090.SZ,主板
000096.SZ,主板
000099.SZ,主板
000100.SZ,主板
000150.SZ,主板
000151.SZ,主板
000153.SZ,主板
000155.SZ,主板
000156.SZ,主板
000157.SZ,主板
000158.SZ,主板
000159.SZ,主板
000166.SZ,主板
000301.SZ,主板
000333.SZ,主板
000338.SZ,主板
000400.SZ,主板
000401.SZ,主板
000402.SZ,主板
000403.SZ,主板
000404.SZ,主板
000407.SZ,主板
000408.SZ,主板
000409.SZ,主板
000410.SZ,主板
000411.SZ,主板
000413.SZ,主板
000415.SZ,主板
000416.SZ,主板
000417.SZ,主板
000419.SZ,主板
000420.SZ,主板
000421.SZ,主板
000422.SZ,主板
000423.SZ,主板
000425.SZ,主板
000426.SZ,主板
000428.SZ,主板
000429.SZ,主板
000430.SZ,主板
000488.SZ,主板
000498.SZ,主板
000501.SZ,主板
000502.SZ,主板
000503.SZ,主板
000504.SZ,主板
000505.SZ,主板
000506.SZ,主板
000507.SZ,主板
000509.SZ,主板
000510.SZ,主板
000513.SZ,主板
000514.SZ,主板
000516.SZ,主板
000517.SZ,主板
000518.SZ,主板
000519.SZ,主板
000520.SZ,主板
000521.SZ,主板
000523.SZ,主板
000524.SZ,主板
000525.SZ,主板
000526.SZ,主板
000528.SZ,主板
000529.SZ,主板
000530.SZ,主板
000531.SZ,主板
000532.SZ,主板
000533.SZ,主板
000534.SZ,主板
000536.SZ,主板
000537.SZ,主板
000538.SZ,主板
000539.SZ,主板
000540.SZ,主板
000541.SZ,主板
000543.SZ,主板
000544.SZ,主板
000545.SZ,主板
000546.SZ,主板
000547.SZ,主板
000548.SZ,主板
000550.SZ,主板
000551.SZ,主板
000552.SZ,主板
000553.SZ,主板
000554.SZ,主板
000555.SZ,主板
000557.SZ,主板
000558.SZ,主板
000559.SZ,主板
000560.SZ,主板
000561.SZ,主板
000563.SZ,主板
000564.SZ,主板
000565.SZ,主板
000566.SZ,主板
000567.SZ,主板
000568.SZ,主板
000570.SZ,主板
000571.SZ,主板
000572.SZ,主板
000573.SZ,主板
000576.SZ,主板
000581.SZ,主板
000582.SZ,主板
000584.SZ,主板
000585.SZ,主板
000586.SZ,主板
000587.SZ,主板
000589.SZ,主板
000590.SZ,主板
000591.SZ,主板
000592.SZ,主板
000593.SZ,主板
000595.SZ,主板
000596.SZ,主板
000597.SZ,主板
000598.SZ,主板
000599.SZ,主板
000600.SZ,主板
000601.SZ,主板
000603.SZ,主板
000605.SZ,主板
000606.SZ,主板
000607.SZ,主板
000608.SZ,主板
000609.SZ,主板
000610.SZ,主板
000611.SZ,主板
000612.SZ,主板
000613.SZ,主板
000615.SZ,主板
000616.SZ,主板
000617.SZ,主板
000619.SZ,主板
000620.SZ,主板
000622.SZ,主板
000623.SZ,主板
000625.SZ,主板
000626.SZ,主板
000627.SZ,主板
000628.SZ,主板
000629.SZ,主板
000630.SZ,主板
000631.SZ,主板
000632.SZ,主板
000633.SZ,主板
000635.SZ,主板
000636.SZ,主板
000637.SZ,主板
000638.SZ,主板
000639.SZ,主板
000650.SZ,主板
000651.SZ,主板
000652.SZ,主板
000655.SZ,主板
000656.SZ,主板
000657.SZ,主板
000659.SZ,主板
000661.SZ,主板
000662.SZ,主板
000663.SZ,主板
000665.SZ,主板
000666.SZ,主板
000667.SZ,主板
000668.SZ,主板
000669.SZ,主板
000670.SZ,主板
000671.SZ,主板
000672.SZ,主板
000673.SZ,主板
000676.SZ,主板
000677.SZ,主板
000678.SZ,主板
000679.SZ,主板
000680.SZ,主板
000681.SZ,主板
000682.SZ,主板
000683.SZ,主板
000685.SZ,主板
000686.SZ,主板
000687.SZ,主板
000688.SZ,主板
000690.SZ,主板
000691.SZ,主板
000692.SZ,主板
000695.SZ,主板
000697.SZ,主板
000698.SZ,主板
000700.SZ,主板
000701.SZ,主板
000702.SZ,主板
000703.SZ,主板
000705.SZ,主板
000707.SZ,主板
000708.SZ,主板
000709.SZ,主板
000710.SZ,主板
000711.SZ,主板
000712.SZ,主板
000713.SZ,主板
000715.SZ,主板
000716.SZ,主板
000717.SZ,主板
000718.SZ,主板
000719.SZ,主板
000720.SZ,主板
000721.SZ,主板
000722.SZ,主板
000723.SZ,主板
000725.SZ,主板
000726.SZ,主板
000727.SZ,主板
000728.SZ,主板
000729.SZ,主板
000731.SZ,主板
000732.SZ,主板
000733.SZ,主板
000735.SZ,主板
000736.SZ,主板
000737.SZ,主板
000738.SZ,主板
000739.SZ,主板
