,0
0,002036.SZ
1,000564.SZ
2,603369.SH
3,002366.SZ
4,600730.SH
5,300530.SZ
6,600056.SH
7,002285.SZ
8,002830.SZ
9,000423.SZ
10,002651.SZ
11,603968.SH
12,300534.SZ
13,600177.SH
14,601700.SH
15,601555.SH
16,002215.SZ
17,600118.SH
18,600735.SH
19,002242.SZ
20,002761.SZ
21,002909.SZ
22,000090.SZ
23,300563.SZ
24,600182.SH
25,300318.SZ
26,300652.SZ
27,300206.SZ
28,600189.SH
29,600822.SH
30,002601.SZ
31,603677.SH
32,002125.SZ
33,300409.SZ
34,300656.SZ
35,002474.SZ
36,601208.SH
37,600704.SH
38,600717.SH
39,300042.SZ
40,002757.SZ
41,002614.SZ
42,002131.SZ
43,300019.SZ
44,603185.SH
45,300499.SZ
46,601999.SH
47,000828.SZ
48,002046.SZ
49,603936.SH
50,300727.SZ
51,603011.SH
52,300055.SZ
53,600026.SH
54,600726.SH
55,600588.SH
56,002613.SZ
57,002252.SZ
58,002170.SZ
59,002189.SZ
60,002397.SZ
61,300612.SZ
62,600728.SH
63,603380.SH
64,300397.SZ
65,000952.SZ
66,600775.SH
67,600439.SH
68,002370.SZ
69,300419.SZ
70,002226.SZ
71,002756.SZ
72,601009.SH
73,300239.SZ
74,600079.SH
75,300342.SZ
76,300752.SZ
77,600981.SH
78,002786.SZ
79,002037.SZ
80,002671.SZ
81,300413.SZ
82,300484.SZ
83,002233.SZ
84,300229.SZ
85,300266.SZ
86,600997.SH
87,300506.SZ
88,300137.SZ
89,601577.SH
90,002806.SZ
91,300258.SZ
92,603002.SH
93,600809.SH
94,600618.SH
95,002277.SZ
96,002942.SZ
97,600468.SH
98,000702.SZ
99,002795.SZ
100,300022.SZ
101,300163.SZ
102,600409.SH
103,300304.SZ
104,601599.SH
105,002927.SZ
106,000666.SZ
107,000726.SZ
108,002738.SZ
109,600061.SH
110,600246.SH
111,002168.SZ
112,000416.SZ
113,600128.SH
114,601900.SH
115,603026.SH
116,300182.SZ
117,603233.SH
118,000886.SZ
119,600855.SH
120,002801.SZ
121,603726.SH
122,000863.SZ
123,600393.SH
124,601799.SH
125,603038.SH
126,603286.SH
127,002084.SZ
128,300694.SZ
