DLcodes,DLdate,boardtype
600978.SH,2021/3/22,主板
600247.SH,2021/3/22,主板
600677.SH,2021/3/18,主板
600086.SH,2021/3/17,主板
600687.SH,2021/3/3,主板
600317.SH,2021/1/29,主板
000939.SZ,2020/12/17,主板
300431.SZ,2020/11/10,创业板
300216.SZ,2020/9/16,创业板
600069.SH,2020/8/27,主板
300156.SZ,2020/8/25,创业板
300090.SZ,2020/8/25,创业板
600175.SH,2020/8/14,主板
002220.SZ,2020/8/11,中小板
300028.SZ,2020/8/3,创业板
300104.SZ,2020/7/21,创业板
002509.SZ,2020/7/20,中小板
002604.SZ,2020/7/15,中小板
601558.SH,2020/7/2,主板
600074.SH,2020/6/2,主板
600240.SH,2020/2/5,主板
000018.SZ,2020/1/7,主板
600747.SH,2019/12/12,主板
002143.SZ,2019/11/29,中小板
002680.SZ,2019/11/27,中小板
002018.SZ,2019/11/1,中小板
002477.SZ,2019/10/16,中小板
600401.SH,2019/7/12,主板
000693.SZ,2019/7/9,主板
002070.SZ,2019/7/9,中小板
000418.SZ,2019/6/21,主板
600680.SH,2019/5/24,主板
600270.SH,2018/12/28,主板
000979.SZ,2018/12/28,主板
000511.SZ,2018/7/18,主板
600806.SH,2018/7/13,主板
600432.SH,2018/7/13,主板
000916.SZ,2017/12/25,主板
300372.SZ,2017/8/28,创业板
000033.SZ,2017/7/7,主板
600005.SH,2017/2/14,主板
000748.SZ,2017/1/18,主板
600656.SH,2016/5/13,主板
000024.SZ,2015/12/30,主板
300186.SZ,2015/11/2,创业板
000594.SZ,2015/7/13,主板
601268.SH,2015/5/21,主板
600832.SH,2015/5/20,主板
601299.SH,2015/5/20,主板
000562.SZ,2015/1/26,主板
600087.SH,2014/6/5,主板
000527.SZ,2013/9/18,主板
000602.SZ,2013/8/14,主板
600253.SH,2013/7/15,主板
000522.SZ,2013/4/26,主板
000805.SZ,2013/3/27,主板
000787.SZ,2013/2/8,主板
600991.SH,2012/3/20,主板
600263.SH,2012/3/1,主板
600102.SH,2012/2/28,主板
600631.SH,2011/8/23,主板
000578.SZ,2011/3/22,主板
600553.SH,2011/2/18,主板
600003.SH,2010/2/26,主板
600607.SH,2010/2/12,主板
600842.SH,2010/2/12,主板
600591.SH,2010/1/25,主板
600357.SH,2009/12/29,主板
600001.SH,2009/12/29,主板
600840.SH,2009/8/27,主板
000569.SZ,2009/5/6,主板
000515.SZ,2009/5/6,主板
600627.SH,2008/11/26,主板
600786.SH,2008/3/18,主板
600472.SH,2007/12/26,主板
600065.SH,2007/12/13,主板
600762.SH,2007/11/20,主板
600181.SH,2007/6/1,主板
600286.SH,2007/5/31,主板
000583.SZ,2007/5/21,主板
600205.SH,2007/4/30,主板
600296.SH,2007/4/30,主板
000549.SZ,2007/4/27,主板
000699.SZ,2007/4/4,主板
600092.SH,2006/11/30,主板
600772.SH,2006/11/30,主板
600018.SH,2006/10/20,主板
000832.SZ,2006/6/29,主板
600002.SH,2006/4/24,主板
000956.SZ,2006/4/21,主板
000866.SZ,2006/4/21,主板
000406.SZ,2006/4/21,主板
600659.SH,2006/3/23,主板
000618.SZ,2006/2/20,主板
600799.SH,2006/1/4,主板
000817.SZ,2006/1/4,主板
000763.SZ,2006/1/4,主板
600752.SH,2005/9/22,主板
000827.SZ,2005/9/21,主板
000769.SZ,2005/9/21,主板
000535.SZ,2005/9/21,主板
600899.SH,2005/9/21,主板
600700.SH,2005/9/20,主板
600852.SH,2005/9/16,主板
600672.SH,2005/8/5,主板
000765.SZ,2005/7/4,主板
600788.SH,2005/3/25,主板
600632.SH,2004/11/18,主板
000621.SZ,2004/9/27,主板
600670.SH,2004/9/24,主板
000730.SZ,2004/9/24,主板
000013.SZ,2004/9/20,主板
600878.SH,2004/9/15,主板
600669.SH,2004/9/15,主板
000660.SZ,2004/9/13,主板
000405.SZ,2004/3/19,主板
000542.SZ,2004/1/13,主板
600646.SH,2003/9/22,主板
000412.SZ,2003/9/19,主板
000047.SZ,2003/5/30,主板
600709.SH,2003/5/23,主板
000658.SZ,2002/9/20,主板
600813.SH,2002/9/16,主板
000653.SZ,2002/9/13,主板
000689.SZ,2002/9/5,主板
000675.SZ,2002/8/20,主板
000003.SZ,2002/6/14,主板
000556.SZ,2002/5/29,主板
000015.SZ,2001/10/22,主板
000588.SZ,2001/6/15,主板
600625.SH,2001/4/23,主板
000508.SZ,1999/7/12,主板
