WindCodes,IPO_DATE,MKT
000001.SZ,1991/4/3,主板
000002.SZ,1991/1/29,主板
000004.SZ,1991/1/14,主板
000005.SZ,1990/12/10,主板
000006.SZ,1992/4/27,主板
000007.SZ,1992/4/13,主板
000008.SZ,1992/5/7,主板
000009.SZ,1991/6/25,主板
000010.SZ,1995/10/27,主板
000011.SZ,1992/3/30,主板
000012.SZ,1992/2/28,主板
000014.SZ,1992/6/2,主板
000016.SZ,1992/3/27,主板
000017.SZ,1992/3/31,主板
000019.SZ,1992/10/12,主板
000020.SZ,1992/4/28,主板
000021.SZ,1994/2/2,主板
000023.SZ,1993/4/29,主板
000025.SZ,1993/6/21,主板
000026.SZ,1993/6/3,主板
000027.SZ,1993/9/3,主板
000028.SZ,1993/8/9,主板
000029.SZ,1993/9/15,主板
000030.SZ,1993/9/29,主板
000031.SZ,1993/10/8,主板
000032.SZ,1993/10/28,主板
000034.SZ,1994/5/9,主板
000035.SZ,1994/4/8,主板
000036.SZ,1994/6/17,主板
000037.SZ,1994/7/1,主板
000038.SZ,1994/8/8,主板
000039.SZ,1994/4/8,主板
000040.SZ,1994/8/8,主板
000042.SZ,1994/9/21,主板
000045.SZ,1994/8/15,主板
000046.SZ,1994/9/12,主板
000048.SZ,1994/11/1,主板
000049.SZ,1995/3/20,主板
000050.SZ,1995/3/15,主板
000055.SZ,1996/4/15,主板
000056.SZ,1996/7/8,主板
000058.SZ,1996/12/26,主板
000059.SZ,1997/1/30,主板
000060.SZ,1997/1/23,主板
000061.SZ,1997/1/10,主板
000062.SZ,1997/1/30,主板
000063.SZ,1997/11/18,主板
000065.SZ,1998/6/5,主板
000066.SZ,1997/6/26,主板
000068.SZ,1997/6/11,主板
000069.SZ,1997/9/10,主板
000070.SZ,2000/5/11,主板
000078.SZ,1998/12/18,主板
000088.SZ,1997/7/28,主板
000089.SZ,1998/4/20,主板
000090.SZ,1999/7/21,主板
000096.SZ,2000/7/24,主板
000099.SZ,2000/7/31,主板
000100.SZ,2004/1/30,主板
000150.SZ,2000/8/7,主板
000151.SZ,2000/9/6,主板
000153.SZ,2000/9/20,主板
000155.SZ,2000/9/26,主板
000156.SZ,2000/9/6,主板
000157.SZ,2000/10/12,主板
000158.SZ,2000/7/24,主板
000159.SZ,2000/9/26,主板
000166.SZ,2015/1/26,主板
000301.SZ,2000/5/29,主板
000333.SZ,2013/9/18,主板
000338.SZ,2007/4/30,主板
000400.SZ,1997/4/18,主板
000401.SZ,1996/6/14,主板
000402.SZ,1996/6/26,主板
000403.SZ,1996/6/28,主板
000404.SZ,1996/6/19,主板
000407.SZ,1996/7/3,主板
000408.SZ,1996/6/28,主板
000409.SZ,1996/6/27,主板
000410.SZ,1996/7/18,主板
000411.SZ,1996/7/16,主板
000413.SZ,1996/9/25,主板
000415.SZ,1996/7/16,主板
000416.SZ,1996/7/19,主板
000417.SZ,1996/8/12,主板
